limiar,vp,vn,fp,fn,acuracia,precisao,recall,f1,conjunto,modo,versao
0.47000000000000003,1792,14799,62,147,0.9875595238095238,0.9665587918015103,0.924187725631769,0.9448984972317427,treino,rotulado,v2
0.48,1772,14805,56,167,0.9867261904761905,0.9693654266958425,0.9138731304796287,0.9408016989646933,treino,rotulado,v2
0.49,1761,14813,48,178,0.986547619047619,0.9734660033167496,0.9082001031459516,0.9397011739594451,treino,rotulado,v2
0.5,1744,14816,45,195,0.9857142857142858,0.9748462828395752,0.8994326972666323,0.9356223175965666,treino,rotulado,v2
0.51,1729,14822,39,210,0.9851785714285715,0.9779411764705882,0.8916967509025271,0.9328297814944699,treino,rotulado,v2
0.52,1710,14823,38,229,0.9841071428571428,0.9782608695652174,0.8818978855079939,0.9275834011391375,treino,rotulado,v2
0.53,1699,14826,35,240,0.9836309523809523,0.9798154555940023,0.8762248581743166,0.9251293220800436,treino,rotulado,v2
0.54,1680,14831,30,259,0.9827976190476191,0.9824561403508771,0.8664259927797834,0.9208002192381475,treino,rotulado,v2
0.55,1657,14832,29,282,0.9814880952380952,0.9827995255041518,0.854564208354822,0.9142068965517242,treino,rotulado,v2
0.56,1634,14835,26,305,0.980297619047619,0.9843373493975903,0.8427024239298607,0.9080300083356488,treino,rotulado,v2
0.5700000000000001,1605,14839,22,334,0.9788095238095238,0.986478180700676,0.8277462609592573,0.900168255748738,treino,rotulado,v2
0.58,1581,14843,18,358,0.9776190476190476,0.9887429643527205,0.815368746776689,0.8937252685132844,treino,rotulado,v2
0.59,1553,14847,14,386,0.9761904761904762,0.9910657306955967,0.8009283135636927,0.8859098687963491,treino,rotulado,v2
0.6,1526,14848,13,413,0.9746428571428571,0.9915529564652371,0.7870036101083032,0.8775158136860265,treino,rotulado,v2
0.61,1515,14849,12,424,0.974047619047619,0.9921414538310412,0.7813305827746261,0.8742065781881131,treino,rotulado,v2
0.62,1487,14851,10,452,0.9725,0.9933199732798931,0.7668901495616297,0.8655413271245634,treino,rotulado,v2
0.63,1459,14852,9,480,0.9708928571428571,0.9938692098092643,0.7524497163486333,0.8564719694746111,treino,rotulado,v2
0.64,1425,14853,8,514,0.9689285714285715,0.994417306350314,0.7349149045899949,0.8451957295373665,treino,rotulado,v2
0.65,1400,14855,6,539,0.9675595238095238,0.9957325746799431,0.7220216606498195,0.8370702541106129,treino,rotulado,v2
0.66,1381,14855,6,558,0.9664285714285714,0.9956741167988464,0.7122227952552862,0.830426939266386,treino,rotulado,v2
0.67,1346,14856,5,593,0.9644047619047619,0.996299037749815,0.6941722537390408,0.8182370820668693,treino,rotulado,v2
0.68,1319,14856,5,620,0.9627976190476191,0.9962235649546828,0.6802475502836514,0.8084584737971192,treino,rotulado,v2
0.6900000000000001,1285,14857,4,654,0.9608333333333333,0.9968968192397207,0.6627127385250129,0.7961586121437423,treino,rotulado,v2
0.7000000000000001,1254,14857,4,685,0.9589880952380953,0.9968203497615262,0.6467251160391955,0.7844854551141696,treino,rotulado,v2
0.71,1225,14857,4,714,0.9572619047619048,0.9967453213995118,0.631768953068592,0.7733585858585859,treino,rotulado,v2
0.72,1194,14859,2,745,0.9555357142857143,0.9983277591973244,0.6157813305827746,0.7617224880382775,treino,rotulado,v2
0.73,1155,14859,2,784,0.9532142857142857,0.9982713915298185,0.5956678700361011,0.7461240310077519,treino,rotulado,v2
0.74,1128,14860,1,811,0.9516666666666667,0.9991142604074402,0.5817431665807117,0.7353324641460235,treino,rotulado,v2
0.75,1089,14861,0,850,0.9494047619047619,1.0,0.5616297060340382,0.7192866578599736,treino,rotulado,v2
0.76,1057,14861,0,882,0.9475,1.0,0.5451263537906137,0.705607476635514,treino,rotulado,v2
0.77,1001,14861,0,938,0.9441666666666667,1.0,0.516245487364621,0.680952380952381,treino,rotulado,v2
0.78,954,14861,0,985,0.9413690476190476,1.0,0.4920061887570913,0.6595229865191843,treino,rotulado,v2
0.79,921,14861,0,1018,0.9394047619047619,1.0,0.4749871067560598,0.644055944055944,treino,rotulado,v2
0.8,878,14861,0,1061,0.9368452380952381,1.0,0.4528107271789582,0.6233581824636137,treino,rotulado,v2
0.81,837,14861,0,1102,0.934404761904762,1.0,0.43166580711707064,0.6030259365994236,treino,rotulado,v2
0.8200000000000001,792,14861,0,1147,0.9317261904761904,1.0,0.40845796802475504,0.5800073233247894,treino,rotulado,v2
0.8300000000000001,749,14861,0,1190,0.9291666666666667,1.0,0.3862815884476534,0.5572916666666666,treino,rotulado,v2
0.84,708,14861,0,1231,0.9267261904761904,1.0,0.36513666838576586,0.5349452210049113,treino,rotulado,v2
